pid	devicetype	brand	model	version	fccid	availability	whereavailable	supportedsincecommit	supportedsincerel	supportedcurrentrel	unsupported_functions	target	subtarget	packagearchitecture	bootloader	cpu	cpucores	cpumhz	flashmb	rammb	ethernet100mports	ethernetgbitports	switch	vlan	modem	commentsnetworkports	wlanhardware	wlan24ghz	wlan50ghz	wlancomments	wlandriver	detachableantennas	bluetooth	usbports	sataports	commentsusbsataports	videoports	audioports	phoneports	commentsavports	serial	serialconnectionparameters	jtag	ledcount	buttoncount	gpios	powersupply	devicepage	device_techdata	owrt_forum_topic_url	lede_forum_topic_url	forumsearch	gitsearch	wikideviurl	oemdevicehomepageurl	firmwareoemstockurl	firmwareopenwrtinstallurl	firmwareopenwrtupgradeurl	firmwareopenwrtsnapshotinstallurl	firmwareopenwrtsnapshotupgradeurl	installationmethods	commentinstallation	recoverymethods	commentrecovery	picture	comments
15667053	WiFi Router	Strong	1200	NULL	https://fcc.io/2AHVH/WR1201	Available 2019	amazon.de, jacob.de	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=30a7ab8f61c8a5f1a4428f8c7cf9a1d6a12b096b	19.07.0	21.02.3	NULL	ramips	mt7621	mipsel_24kc	U-Boot	MediaTek MT7621A	2	880	16	128	-	5	?	Yes	-		MediaTek MT7612EN	b/g/n	a/n/ac		mt76	-	-	1x 3.0	-		-	-	-		Yes	57600 / 8N1	?	7	1	-	12 VDC, 1.5 A	toh:strong:1200	View/Edit data	http://forum.openwrt.org/t/support-for-strong-1200/22768	NULL	Strong 1200	Strong 1200	NULL	https://www.strong.tv/fr/products/broad-router/router1200		https://downloads.openwrt.org/releases/21.02.3/targets/ramips/mt7621/openwrt-21.02.3-ramips-mt7621-mtc_wr1201-initramfs-kernel.bin	https://downloads.openwrt.org/releases/21.02.3/targets/ramips/mt7621/openwrt-21.02.3-ramips-mt7621-mtc_wr1201-squashfs-sysupgrade.bin	https://downloads.openwrt.org/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-mtc_wr1201-initramfs-kernel.bin	https://downloads.openwrt.org/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-mtc_wr1201-squashfs-sysupgrade.bin	see git-commit	Flash first -initramfs.bin and after, -squashfs.bin	unknown		media:example:genericrouter1.png	aka "MTC WR1201"
15667054	WiFi Router	STORYLiNK	SAP-G3200U3	NULL	NULL	unknown 2018	?	https://git.lede-project.org/?p=source.git;a=commit;h=dcae3723fdde4ef48ee1336abfbd2d57a2b8cc85	17.01.0	21.02.3	NULL	ramips	mt7621	mipsel_24kc	U-Boot	MediaTek MT7621AT	2	880	8	128	-	5	MediaTek MT7530	Yes	-		MediaTek MT7612EN	b/g/n	a/n/ac	2x 2x2	mt76	-	?	1x 3.0	-		?	?	?		Yes	?	No	9	2	?	12 VDC, 2.0 A	toh:storylink:sap-g3200u3	View/Edit data	NULL	NULL	SAP-G3200U3	SAP-G3200U3	NULL	http://www.storylink.co.kr/front/php/category.php?cate_no=52	http://update.gostorylink.com/SAP-G3200/	NULL	https://downloads.openwrt.org/releases/21.02.3/targets/ramips/mt7621/openwrt-21.02.3-ramips-mt7621-storylink_sap-g3200u3-squashfs-sysupgrade.bin	NULL	https://downloads.openwrt.org/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-storylink_sap-g3200u3-squashfs-sysupgrade.bin	U-Boot TFTP recovery		U-Boot TFTP recovery		media:example:genericrouter1.png	
15667055	Single Board Computer	SolidRun	CuBox i2	NULL	NULL	Available 2020	shop.solid-run.com	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=6cda4f68619ec139be7897ea61b7f22c72c38b59	19.07.0	21.02.3	NULL	imx6	generic	arm_cortex-a9_neon	U-Boot	NXP i.MX6 Dual Lite	2	1000	microSD	1024	1	-	-	?	-		-	-	-		none	-	-	2x 2.0	-		HDMI	S/PDIF	-		?	?	?	?	?	?	5 VDC, 2.0 A		View/Edit data	NULL	NULL	CuBox i2	CuBox i2	NULL	https://www.solid-run.com/nxp-family/cubox-i/cubox-i-specifications/		https://downloads.openwrt.org/releases/21.02.3/targets/imx6/generic/	NULL	https://downloads.openwrt.org/snapshots/targets/imx6/generic/	NULL	see git-commit		SD card		media:example:genericrouter1.png	
15667056	Router	SolidRun	ClearFog Base	NULL	NULL	Available 2020	farnell.com, shop.solid-run.com	https://git.lede-project.org/?p=source.git;a=commit;h=ee1cee2cac67108194f1496c29fead90afff1763	17.01.4	21.02.3	NULL	mvebu	cortexa9	arm_cortex-a9_vfpv3	U-Boot	Marvell Armada 380	2	1600	microSD	1024	-	2	?	?	-	1xSFP	-	-	-		none	-	-	1x 3.0	1		-	-	-		Yes	?	No	?	?	?	9-32 VDC	toh:solidrun:clearfog	View/Edit data	NULL	NULL	ClearFog Base	ClearFog Base	NULL	https://wiki.solid-run.com/doku.php?id=products:a38x:clearfog	https://wiki.solid-run.com/doku.php?id=products:a38x:software	https://downloads.openwrt.org/releases/21.02.3/targets/mvebu/cortexa9/openwrt-21.02.3-mvebu-cortexa9-solidrun_clearfog-base-a1-squashfs-sdcard.img.gz	NULL	https://downloads.openwrt.org/snapshots/targets/mvebu/cortexa9/openwrt-mvebu-cortexa9-solidrun_clearfog-base-a1-squashfs-sdcard.img.gz	NULL	see devicepage		NULL		media:example:genericrouter1.png	
15667057	WiFi Router	Sitecom	WLR-8100	v1 002	http://?	Discontinued		https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=dfb7a4ce5d3200c5cb4b12c8a90b2fcc7d66f6bd	21.02.0	21.02.3	NULL	ath79	generic	mips_24kc	U-Boot	Qualcomm Atheros QCA9558	1	720	16	128	-	5	?	?	-		Qualcomm Atheros QCA9880-BR4A	b/g/n	a/n/ac		ath9k	-	-	1x 3.0	-		-	-	-		?	?	?	9	2	-	12 VDC, 2.0 A		View/Edit data	NULL	NULL	WLR-8100	WLR-8100	https://wikidevi.wi-cat.ru/Sitecom_WLR-8100	https://www.sitecom.com/en/ac1750-wi-fi-gigabit-router-x8/wlr-8100/p/1621	http://www.sitecomlearningcentre.com/de/products/wlr-8100v1001/wi-fi-router-x8-ac1750/downloads	https://downloads.openwrt.org/releases/21.02.3/targets/ath79/generic/openwrt-21.02.3-ath79-generic-sitecom_wlr-8100-squashfs-factory.dlf	https://downloads.openwrt.org/releases/21.02.3/targets/ath79/generic/openwrt-21.02.3-ath79-generic-sitecom_wlr-8100-squashfs-sysupgrade.bin	https://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-sitecom_wlr-8100-squashfs-factory.dlf	https://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-sitecom_wlr-8100-squashfs-sysupgrade.bin	see git-commit		see git-commit		media:example:genericrouter1.png	
15667136	WiFi Router	JCG	JHR-AC876M	NULL	NULL	unknown 2019	?	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=1b7199c90c7128e3f81cc4abc6d80ab76a820b12	21.02.0	21.02.3	NULL	ramips	mt7621	mipsel_24kc	U-Boot	MediaTek MT7621AT	2	880	16	256	-	5	?	?	-		MediaTek MT7615N	b/g/n	a/n/ac		mt76	-	-	1x 3.0	-		-	-	-		?	?	?	6	2	-	12 VDC, 3.0 A	toh:jcg:jhr-ac876m	View/Edit data	NULL	NULL	JHR-AC876M	JHR-AC876M	NULL			https://downloads.openwrt.org/releases/21.02.3/targets/ramips/mt7621/openwrt-21.02.3-ramips-mt7621-jcg_jhr-ac876m-squashfs-factory.bin	https://downloads.openwrt.org/releases/21.02.3/targets/ramips/mt7621/openwrt-21.02.3-ramips-mt7621-jcg_jhr-ac876m-squashfs-sysupgrade.bin	https://downloads.openwrt.org/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-jcg_jhr-ac876m-squashfs-factory.bin	https://downloads.openwrt.org/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-jcg_jhr-ac876m-squashfs-sysupgrade.bin	see git-commit		U-Boot web recovery		media:example:genericrouter1.png	
15667137	WiFi Router	JCG	Q20	NULL	http://?	unknown 2021	?	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=57cb387cfeee2a07902a2f1383ca471ef47265f3	21.02.0	21.02.3	NULL	ramips	mt7621	mipsel_24kc	U-Boot	MediaTek MT7621AT	2	880	128	256	-	3	?	?	-		MediaTek MT7915	?	?		mt76	?	-	-	-		-	-	-		?	?	?	1	2	-	12 VDC, 1.0 A		View/Edit data	NULL	NULL	Q20	Q20	NULL	http://?	http://?	https://downloads.openwrt.org/releases/21.02.3/targets/ramips/mt7621/openwrt-21.02.3-ramips-mt7621-jcg_q20-squashfs-factory.bin	https://downloads.openwrt.org/releases/21.02.3/targets/ramips/mt7621/openwrt-21.02.3-ramips-mt7621-jcg_q20-squashfs-sysupgrade.bin	https://downloads.openwrt.org/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-jcg_q20-squashfs-factory.bin	https://downloads.openwrt.org/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-jcg_q20-squashfs-sysupgrade.bin	GUI OEM		unknown		media:example:genericrouter1.png	
15667138	WiFi Router	JCG	Y2	NULL	http://?	unknown 2021	?	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=82032f350991af08a918f0fcaac81ff82e836d88	21.02.0	21.02.3	NULL	ramips	mt7621	mipsel_24kc	U-Boot	MediaTek MT7621AT	2	880	16	256	-	5	?	?	-		MediaTek MT7615	b/g/n	a/n/ac		mt76	?	-	-	-		-	-	-		?	?	?	4	1	-	12 VDC, 1.0 A		View/Edit data	NULL	NULL	Y2	Y2	NULL	http://?	http://?	https://downloads.openwrt.org/releases/21.02.3/targets/ramips/mt7621/openwrt-21.02.3-ramips-mt7621-jcg_y2-squashfs-factory.bin	https://downloads.openwrt.org/releases/21.02.3/targets/ramips/mt7621/openwrt-21.02.3-ramips-mt7621-jcg_y2-squashfs-sysupgrade.bin	https://downloads.openwrt.org/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-jcg_y2-squashfs-factory.bin	https://downloads.openwrt.org/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-jcg_y2-squashfs-sysupgrade.bin	see git-commit		unknown		media:example:genericrouter1.png	
15667205	Single Board Computer	NixCore	X1	NULL	NULL	Available 2018	nixcores.com	https://git.lede-project.org/?p=source.git;a=commit;h=cf8c77be6becf3c5e40e19e9c4ab0d0abdfb9291	17.01.0	18.06.4	NULL	ramips	rt305x	mipsel_24kc	U-Boot	Ralink RT5350	1	360	8	32	1	-	-	?	-		Ralink RT5350	b/g/n	-		unknown	1	-	1x 2.0	-		-	-	-		Yes	115200 / 8N1	Yes	-	-	more than 20	3.6 VDC, max. 3W		View/Edit data	NULL	NULL	Nixcore	Nixcore	NULL	http://nixcores.com/products/nixcore-x1/	http://nixcores.com/products/nixcore-x1/	NULL	https://downloads.openwrt.org/releases/18.06.4/targets/ramips/rt305x/openwrt-18.06.4-ramips-rt305x-nixcore-x1-8M-squashfs-sysupgrade.bin	NULL	https://downloads.openwrt.org/snapshots/targets/ramips/rt305x/openwrt-ramips-rt305x-nixcore_x1-8m-squashfs-sysupgrade.bin	U-Boot TFTP + serial recovery		U-Boot TFTP + serial recovery		media:example:genericrouter1.png	Vendor firmware is based on OpenWrt/LEDE.
15667243	WiFi Router	T-Com / Telekom	Speedport W 723V Typ B	NULL	NULL	unknown 2018					Possible to support	lantiq	xrx200	mips_24kc	?	Lantiq XWAY VRX288 v1.1	2	500	8	64	4	-	Lantiq GSWIP (built-in SoC switch)	?	VDSL2	1x S0	Broadcom BCM43222	b/g/n	a/n		b43	-	?	1x 2.0	-		NULL	NULL	NULL		Yes	?	?			?	?	toh:t-com:spw723vtypb	View/Edit data	NULL	NULL	Speedport W 723V Typ B	Speedport W 723V Typ B	https://wikidevi.wi-cat.ru/T-Com_Speedport_W723V_Typ_B			NULL	NULL	NULL	NULL	NULL		NULL		media:example:genericrouter1.png	
15667244	Single Board Computer	StorLink	SL93512r	NULL	NULL	unknown 2019	?	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=18e2053becb8e295eae4439c2e107a98b88f9155		snapshot	NULL	gemini	generic	arm_fa526	?	Storm SL3516	1	300	16	64	-	4	Vitesse VSC7385	?	?		?	?	?		unknown	?	?	?	?		?	?	?		Yes	19200 / 8N1	?	2	2	?	?		View/Edit data	NULL	NULL	SL93512r	SL93512r	NULL			NULL	NULL	https://downloads.openwrt.org/snapshots/targets/gemini/generic/openwrt-gemini-storlink_sl93512r-ext4-factory.bin	NULL	unknown		unknown		media:example:genericrouter1.png	
15667245	Single Board Computer	Soekris	net5501	70	NULL	unknown 2021				19.07.7	NULL	x86	geode	i386_geode	?	AMD Geode LX800	1	500	CF card	512	4	-	?	?	-		NULL	-	-		none	-	-	1x Header	1		-	-	-		Yes	?	?	?	?	12	DC Jack min. 6 to max. 28V DC max. 25W or 5V DC onboard		View/Edit data	NULL	NULL	net5501	net5501	http://?	http://?	http://?	http://?	http://?	http://?	http://?	unknown		unknown		media:example:genericrouter1.png	
15667246	Single Board Computer	Soekris	net5501	60	NULL	unknown 2021				19.07.7	NULL	x86	geode	i386_geode	?	AMD Geode LX800	1	433	CF card	256	4	-	?	?	-		NULL	-	-		none	-	?	1x Header	1		-	-	-		Yes	?	?	?	?	12	DC Jack min. 6 to max. 28V DC max.25W or 5V DC onboard		View/Edit data	NULL	NULL	net5501	net5501	http://?	http://?	http://?	http://?	http://?	http://?	http://?	unknown		unknown		media:example:genericrouter1.png	
15667247	WiFi Router	SMC	SMC7908ISP-A	NULL	NULL	Discontinued			10.03.1	15.05.1	NULL	lantiq	xway_legacy	mips_24kc	?	Lantiq XWAY Danube	2	333	4	64	4	-	Realtek RTL8306SD	?	ADSL2+	2xVOIP	Atheros AR2317	b/g	-		ath5k	-	?	1x 2.0	-		?	?	?		Yes	?	?	?	2	?	15 VDC, 1.0 A	toh:arcadyan:arv4518pw	View/Edit data	NULL	NULL	SMC7908ISP-A	SMC7908ISP-A	NULL			http://archive.openwrt.org/chaos_calmer/15.05.1/lantiq/xway/openwrt-15.05.1-lantiq-xway-ARV4518PWR01A-squashfs.image	NULL	NULL	NULL	unknown		unknown		media:example:genericrouter1.png	Identical to ARV4518PW, see https://dev.openwrt.org/changeset/35352; last squashfs image seen 15.05.1, after this only initramfs
15667248	WiFi Router	I-O Data	WN-AC1167GR	NULL	NULL	Available 2019	amazon.co.jp	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=f305ce5c3577005aba5b870b373e65aaf9ede3ec	19.07.0	21.02.3	NULL	ramips	mt7620	mipsel_24kc	U-Boot	MediaTek MT7620A	1	580	8	64	-	5	MediaTek MT7530	Yes	-		MediaTek MT7620A	b/g/n	a/n/ac		mt76	-	-	-	-		-	-	-		Yes	115200 / 8N1	?	4	3	-	12 VDC		View/Edit data	NULL	NULL	WN-AC1167GR	WN-AC1167GR	NULL	https://www.iodata.jp/product/network/wnlan/wn-ac1167gr/	https://www.iodata.jp/lib/product/w/4759.htm	https://downloads.openwrt.org/releases/21.02.3/targets/ramips/mt7620/openwrt-21.02.3-ramips-mt7620-iodata_wn-ac1167gr-squashfs-factory.bin	https://downloads.openwrt.org/releases/21.02.3/targets/ramips/mt7620/openwrt-21.02.3-ramips-mt7620-iodata_wn-ac1167gr-squashfs-sysupgrade.bin	https://downloads.openwrt.org/snapshots/targets/ramips/mt7620/openwrt-ramips-mt7620-iodata_wn-ac1167gr-squashfs-factory.bin	https://downloads.openwrt.org/snapshots/targets/ramips/mt7620/openwrt-ramips-mt7620-iodata_wn-ac1167gr-squashfs-sysupgrade.bin	see git-commit		unknown		media:example:genericrouter1.png	
15667249	WiFi Router	I-O Data	WN-AC1600DGR	NULL	NULL	Discontinued		https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=93d4439454247fb3f7cc88d8ad9a7e80bb440145	19.07.0	21.02.3	NULL	ath79	generic	mips_24kc	U-Boot	Qualcomm Atheros QCA9557	1	720	16	128	-	5	Qualcomm Atheros QCA8337N	Yes	-		Qualcomm Atheros QCA9880	b/g/n	a/n/ac		ath9k	-	-	1x 2.0	-		-	-	-		Yes	115200 / 8N1	?	6	6	-	12 VDC, 1.0 A	toh:i-o_data:wn-ac1600dgr	View/Edit data	NULL	NULL	WN-AC1600DGR	WN-AC1600DGR	https://wikidevi.wi-cat.ru/I-O_DATA_WN-AC1600DGR	https://www.iodata.jp/product/network/wnlan/wn-ac1600dgr/	https://www.iodata.jp/lib/product/w/4304.htm	https://downloads.openwrt.org/releases/21.02.3/targets/ath79/generic/openwrt-21.02.3-ath79-generic-iodata_wn-ac1600dgr-squashfs-factory.bin	https://downloads.openwrt.org/releases/21.02.3/targets/ath79/generic/openwrt-21.02.3-ath79-generic-iodata_wn-ac1600dgr-squashfs-sysupgrade.bin	https://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-iodata_wn-ac1600dgr-squashfs-factory.bin	https://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-iodata_wn-ac1600dgr-squashfs-sysupgrade.bin	U-Boot TFTP + serial recovery		U-Boot TFTP + serial recovery		media:example:genericrouter1.png	
15667250	WiFi Router	I-O Data	WN-AC1600DGR2	NULL	NULL	Discontinued 2014	?	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=a6369206fe3306114f6c4b26a7cf50b91008cb25	19.07.0	21.02.3	NULL	ath79	generic	mips_24kc	U-Boot	Qualcomm Atheros QCA9557	1	720	16	128	-	5	Qualcomm Atheros QCA8337N	Yes	-		Qualcomm Atheros QCA9880	b/g/n	a/n/ac		ath10k	?	-	1x 2.0	-		-	-	-		Yes	115200 / 8N1	?	6	6	-	12 VDC, 1.5 A	toh:i-o_data:wn-ac1600dgr	View/Edit data	NULL	NULL	WN-AC1600DGR2	WN-AC1600DGR2	NULL	https://www.iodata.jp/product/network/wnlan/wn-ac1600dgr2/	https://www.iodata.jp/lib/product/w/4453.htm	https://downloads.openwrt.org/releases/21.02.3/targets/ath79/generic/openwrt-21.02.3-ath79-generic-iodata_wn-ac1600dgr2-squashfs-dgr2-dgr3-factory.bin	https://downloads.openwrt.org/releases/21.02.3/targets/ath79/generic/openwrt-21.02.3-ath79-generic-iodata_wn-ac1600dgr2-squashfs-sysupgrade.bin	https://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-iodata_wn-ac1600dgr2-squashfs-dgr2-dgr3-factory.bin	https://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-iodata_wn-ac1600dgr2-squashfs-sysupgrade.bin	see git-commit		unknown		media:example:genericrouter1.png	
15667370	WiFi Router	Buffalo	WHR-G300N	v2	https://fcc.io/FDI/-09101561	Discontinued 2017			12.09	19.07.2	NULL	ar71xx-ath79	tiny	mips_24kc	?	Atheros AR7240	1	400	4	32	5	-	Atheros AR7240	Yes	-		Atheros AR9283	b/g/n	-		ath9k	-	-	-	-		-	-	-		Yes	?	Yes	5	2	-	12 VDC, 1.0 A	toh:buffalo:whr-g300nv2	View/Edit data	NULL	NULL	WHR-G300N	WHR-G300N	https://wikidevi.wi-cat.ru/Buffalo_WHR-G300N_v2	https://www.buffalo-technology.com/productview/WHR-G300NV2		https://downloads.openwrt.org/releases/19.07.2/targets/ath79/tiny/openwrt-19.07.2-ath79-tiny-buffalo_whr-g301n-squashfs-factory.bin	https://downloads.openwrt.org/releases/19.07.2/targets/ath79/tiny/openwrt-19.07.2-ath79-tiny-buffalo_whr-g301n-squashfs-sysupgrade.bin	https://downloads.openwrt.org/snapshots/targets/ath79/tiny/openwrt-ath79-tiny-buffalo_whr-g301n-squashfs-factory.bin	https://downloads.openwrt.org/snapshots/targets/ath79/tiny/openwrt-ath79-tiny-buffalo_whr-g301n-squashfs-sysupgrade.bin	GUI generic		NULL		media:example:genericrouter1.png	
15667371	WiFi Router	Buffalo	WHR-G301N	v1	NULL	Discontinued		https://git.lede-project.org/?p=source.git;a=commit;h=0d9ae0a0364fcea8c18465ade28c4b719542f018	12.09	19.07.10	NULL	ar71xx-ath79	tiny	mips_24kc	?	Atheros AR7240	1	400	4	32	5	-	?	Yes	-		Atheros AR9280	b/g/n	-		ath9k	-	?	-	-		NULL	NULL	NULL		Yes	?	?	5	2	-	12 VDC, 1.0 A	toh:buffalo:whr-g300nv2	View/Edit data	NULL	NULL	WHR-G301N	WHR-G301N	NULL	http://buffalo.jp/products/catalog/network/whr-g301n/		https://downloads.openwrt.org/releases/19.07.10/targets/ath79/tiny/openwrt-19.07.10-ath79-tiny-buffalo_whr-g301n-squashfs-factory.bin	https://downloads.openwrt.org/releases/19.07.10/targets/ath79/tiny/openwrt-19.07.10-ath79-tiny-buffalo_whr-g301n-squashfs-sysupgrade.bin	NULL	NULL	unknown		unknown		media:example:genericrouter1.png	WHR-G300N v2 = WHR-G301N v1
15667372	WiFi Router	Buffalo	WHR-HP-G54	NULL	NULL	Discontinued			7.09	10.03.1	NULL	brcm47xx	legacy		CFE	Broadcom BCM5352	1	200	4	16	5	-	?	Yes	-		Broadcom BCM5352	b/g	-		b43	1	-	-	-		-	-	-		Yes	?	Yes	?	?	-	5 VDC, 1.3 A	toh:buffalo:whr-hp-g54	View/Edit data	NULL	NULL	WHR-HP-G54	WHR-HP-G54	https://wikidevi.wi-cat.ru/Buffalo_WHR-HP-G54			https://downloads.openwrt.org/backfire/10.03.1/brcm-2.4/openwrt-brcm-2.4-squashfs.trx	https://downloads.openwrt.org/backfire/10.03.1/brcm-2.4/openwrt-brcm-2.4-squashfs.trx	NULL	NULL	CFE TFTP recovery		CFE TFTP recovery		media:example:genericrouter1.png	
15667373	WiFi Router	Buffalo	WHR-HP-G300N	v1	https://fcc.io/FDI/-09101621-0	Discontinued 2017		https://git.lede-project.org/?p=source.git;a=commit;h=c8b9086ac5ceaf9a42623310ae85fa7be58c8547	12.09	17.01.2	NULL	ar71xx	generic	mips_24kc	?	Atheros AR7240	1	400	4	32	5	-	Atheros AR7240	Yes	-		Atheros AR9283	b/g/n	-		ath9k	2	-	-	-		-	-	-		?	?	?	?	?	-	5 VDC, 2.3 A	toh:buffalo:whr-hp-g300n	View/Edit data	NULL	NULL	WHR-HP-G300N	WHR-HP-G300N	https://wikidevi.wi-cat.ru/Buffalo_WHR-HP-G300N	http://www.buffalo-technology.de/en/products/networking/300mbps-wireless/routers/archive/airstation-nfiniti-wireless-n-300mbps-cable-router/		https://downloads.openwrt.org/releases/17.01.2/targets/ar71xx/generic/lede-17.01.2-ar71xx-generic-whr-hp-g300n-squashfs-factory.bin	https://downloads.openwrt.org/releases/17.01.2/targets/ar71xx/generic/lede-17.01.2-ar71xx-generic-whr-hp-g300n-squashfs-sysupgrade.bin	NULL	NULL	see devicepage		NULL		media:example:genericrouter1.png	
15667374	Travel Router	Buffalo	WLAE-AG300N	v1	https://fcc.io/FDI/-09101592-0	Discontinued		https://git.lede-project.org/?p=source.git;a=commit;h=010aec06194cff6b6619b8ca2155da4750d15bef	12.09	17.01.2	NULL	ar71xx	generic	mips_24kc	?	Atheros AR7240	1	400	4	32	2	-	Atheros AR7240	Yes	-		Atheros AR9280	b/g/n	a/n		ath9k	-	?	-	-		?	?	?		?	?	?	2	2	-	100-240 VAC, 50/60 Hz, 0.3 A		View/Edit data	https://forum.openwrt.org/viewtopic.php?id=29260	NULL	WLAE-AG300N	WLAE-AG300N	https://wikidevi.wi-cat.ru/Buffalo_WLAE-AG300N	http://www.buffalo-technology.com/en/products/network-devices/dual-band-n/adapters-converters/archive/wlae-ag300n-airstation-trade-nfiniti-trade-dual-band-wireless-n-ethernet-converter-access-point-and-bridge/		https://downloads.openwrt.org/releases/17.01.2/targets/ar71xx/generic/lede-17.01.2-ar71xx-generic-wlae-ag300n-squashfs-factory.bin	https://downloads.openwrt.org/releases/17.01.2/targets/ar71xx/generic/lede-17.01.2-ar71xx-generic-wlae-ag300n-squashfs-sysupgrade.bin	NULL	NULL	unknown		unknown		media:example:genericrouter1.png	Exchangeable mains plugs
15667421	WiFi Router	Observa	VH4032N	NULL	NULL	Discontinued	ebay.es	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=41ad9ed13a779	17.01.2	21.02.3	WiFi 5GHz partly	brcm63xx	smp	mips_mips32	CFE	Broadcom BCM6368	2	400	32	128	4	-	Broadcom BCM6368	Yes	VDSL2		Broadcom BCM43222	b/g/n	a/n	onlly 1 band can be used	broadcom-wl	-	-	3x 2.0	-		-	-	2		Yes	115200 / 8N1	Yes	8	2	-	15 VDC, 1.2 A	toh:observatelecom:vh4032n	View/Edit data	NULL	NULL	VH4032N	VH4032N	NULL		https://drive.google.com/uc?export=download&id=1RI1Sj9mx3t63D9oYetJyJFKWw4kkvn_M	https://downloads.openwrt.org/releases/21.02.3/targets/bcm63xx/smp/openwrt-21.02.3-bcm63xx-smp-observa_vh4032n-squashfs-cfe.bin	https://downloads.openwrt.org/releases/21.02.3/targets/bcm63xx/smp/openwrt-21.02.3-bcm63xx-smp-observa_vh4032n-squashfs-sysupgrade.bin	https://downloads.openwrt.org/snapshots/targets/bcm63xx/smp/openwrt-bcm63xx-smp-observa_vh4032n-squashfs-cfe.bin	https://downloads.openwrt.org/snapshots/targets/bcm63xx/smp/openwrt-bcm63xx-smp-observa_vh4032n-squashfs-sysupgrade.bin	GUI OEM		CFE web recovery		media:observa:vh4032n-case.png	CPU overclocking available via hardware mod
15667454	NAS	Seagate	BlackArmor NAS220	NULL	NULL	Discontinued		https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=6ffe8a473eedf6f4f472bb5e64a1e1775917f3c8	21.02.0	21.02.3	NULL	kirkwood	generic	arm_xscale	U-Boot	Marvell 88F6192	1	800	32	128	-	1	-	No	-		-	-	-		none	-	-	2x 2.0	2x SATA2		-	-	-		Yes	115200 / 8N1	?	3	1	-	12 VDC, 3.0 A, EAIJ-03 barrel plug 4.75mm x 1.7mm	toh:seagate:blackarmor_nas220	View/Edit data	NULL	NULL	BlackArmor NAS220	BlackArmor NAS220	https://wikidevi.wi-cat.ru/Seagate_BlackArmor_NAS_220	https://www.seagate.com/de/de/support/external-hard-drives/network-storage/blackarmor-nas-220/	https://www.seagate.com/de/de/support/external-hard-drives/network-storage/blackarmor-nas-220/	https://downloads.openwrt.org/releases/21.02.3/targets/kirkwood/generic/openwrt-21.02.3-kirkwood-seagate_blackarmor-nas220-squashfs-factory.bin	https://downloads.openwrt.org/releases/21.02.3/targets/kirkwood/generic/openwrt-21.02.3-kirkwood-seagate_blackarmor-nas220-squashfs-sysupgrade.bin	https://downloads.openwrt.org/snapshots/targets/kirkwood/generic/openwrt-kirkwood-seagate_blackarmor-nas220-squashfs-factory.bin	https://downloads.openwrt.org/snapshots/targets/kirkwood/generic/openwrt-kirkwood-seagate_blackarmor-nas220-squashfs-sysupgrade.bin	see devicepage		see devicepage		media:example:genericrouter1.png	
