pid	devicetype	brand	model	version	fccid	availability	whereavailable	supportedsincecommit	supportedsincerel	supportedcurrentrel	unsupported_functions	target	subtarget	packagearchitecture	bootloader	cpu	cpucores	cpumhz	flashmb	rammb	ethernet100mports	ethernetgbitports	switch	vlan	modem	commentsnetworkports	wlanhardware	wlan24ghz	wlan50ghz	wlancomments	wlandriver	detachableantennas	bluetooth	usbports	sataports	commentsusbsataports	videoports	audioports	phoneports	commentsavports	serial	serialconnectionparameters	jtag	ledcount	buttoncount	gpios	powersupply	devicepage	device_techdata	owrt_forum_topic_url	lede_forum_topic_url	forumsearch	gitsearch	wikideviurl	oemdevicehomepageurl	firmwareoemstockurl	firmwareopenwrtinstallurl	firmwareopenwrtupgradeurl	firmwareopenwrtsnapshotinstallurl	firmwareopenwrtsnapshotupgradeurl	installationmethods	commentinstallation	recoverymethods	commentrecovery	picture	comments
15705847	WiFi AP	Ocedo	Raccoon	NULL	http://fcc.io/2AAUY-RACCOON	Discontinued		https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=647614803473757e3b2d93d46938afccd61a5a5d	19.07.0	21.02.3	NULL	ath79	generic	mips_24kc	U-Boot	Atheros AR9344	1	?	16	128	-	1	?	?	-		Atheros AR9382	b/g/n	a/n		ath9k	-	-	-	-		-	-	-		Yes	115200 / 8N1	?	4	1	-	12 VDC, 2.0 A		View/Edit data	NULL	NULL	Raccoon	Raccoon	NULL			https://downloads.openwrt.org/releases/21.02.3/targets/ath79/generic/openwrt-21.02.3-ath79-generic-ocedo_raccoon-initramfs-kernel.bin	https://downloads.openwrt.org/releases/21.02.3/targets/ath79/generic/openwrt-21.02.3-ath79-generic-ocedo_raccoon-squashfs-sysupgrade.bin	https://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-ocedo_raccoon-initramfs-kernel.bin	https://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-ocedo_raccoon-squashfs-sysupgrade.bin	U-Boot TFTP recovery		U-Boot TFTP recovery		media:example:genericrouter1.png	The U-Boot won't boot with the serial attached. Boot the device without serial attached and attach it after 3 seconds.
15705848	WiFi AP	Ocedo	Ursus (AP5r)	NULL	http://fcc.io/2AAUY-URSUS	Discontinued 2016		https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=de2f888024ac58c6137959ea91f65cb6ad098df3	19.07.0	21.02.3	NULL	ath79	generic	mips_24kc	U-Boot	Qualcomm Atheros QCA9558	1	720	16	128	-	2	?	?	-		Qualcomm Atheros QCA9880	b/g/n	a/n/ac		ath10k-ct	6	-	-	-		-	-	-		Yes	115200 / 8N1	?	5	-	-	PoE 802.3at		View/Edit data	NULL	NULL	Ursus	Ursus	NULL			https://downloads.openwrt.org/releases/21.02.3/targets/ath79/generic/openwrt-21.02.3-ath79-generic-ocedo_ursus-initramfs-kernel.bin	https://downloads.openwrt.org/releases/21.02.3/targets/ath79/generic/openwrt-21.02.3-ath79-generic-ocedo_ursus-squashfs-sysupgrade.bin	https://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-ocedo_ursus-initramfs-kernel.bin	https://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-ocedo_ursus-squashfs-sysupgrade.bin	U-Boot TFTP + serial recovery		U-Boot TFTP + serial recovery		media:example:genericrouter1.png	
15705855	Single Board Computer	Olimex	A13-SOM-256	NULL	NULL	Available 2018	olimex.com				NULL	sunxi	cortexa8	arm_cortex-a8_vfpv3	U-Boot	Allwinner A13	1	1000	microSD	256	?	?	?	?	-	-	NULL	-	-		unknown	-	?	-	-		?	?	?		Yes	?	No	?	?	?	?	toh:olimex:a13-som	View/Edit data	NULL	NULL	A13-SOM-256	A13-SOM-256	NULL			NULL	NULL	NULL	NULL	NULL		NULL		media:olimex:a13-som-1.jpg	
15705856	Single Board Computer	Olimex	A13-SOM-512	NULL	NULL	Available 2019	olimex.com	https://git.lede-project.org/?p=source.git;a=commit;h=175aad61d4f823e11734c51c4b8ea6b26330110d	15.05	21.02.3	NULL	sunxi	cortexa8	arm_cortex-a8_vfpv3	U-Boot	Allwinner A13	1	1000	microSD	512	?	?	?	?	-		-	-	-		none	-	-	-	-		-	-	-		Yes	?	No	1	2	4	3.3 VDC	toh:olimex:a13-som	View/Edit data	NULL	NULL	A13-SOM-512	A13-SOM-512	NULL	https://www.olimex.com/Products/SOM/A13/A13-SOM-512/		https://downloads.openwrt.org/releases/21.02.3/targets/sunxi/cortexa8/openwrt-21.02.3-sunxi-cortexa8-olimex_a13-olimex-som-squashfs-sdcard.img.gz	NULL	https://downloads.openwrt.org/snapshots/targets/sunxi/cortexa8/openwrt-sunxi-cortexa8-olimex_a13-olimex-som-squashfs-sdcard.img.gz	NULL	Sunxi installation		NULL		media:olimex:a13-som-1.jpg	
15705859	Single Board Computer	Olimex	A20-OLinuXino-MICRO	NULL	NULL	Available 2019	olimex.com	https://git.lede-project.org/?p=source.git;a=commit;h=2bc70cfbace7d696ae37215e7895d4572d2b3f4d	14.07	21.02.3	NULL	sunxi	cortexa7	arm_cortex-a8_vfpv3	U-Boot	Allwinner A20	2	1000	SD	1024	1	-	-	?	-		-	-	-		none	-	-	2x 2.0	1		VGA	Line out	-		Yes	115200 / 8N1	No	?	10	more than 20	8-24 VDC	toh:olimex:a20-olinuxino-micro	View/Edit data	NULL	NULL	A20-OLinuXino-MICRO	A20-OLinuXino-MICRO	https://wikidevi.wi-cat.ru/Olimex_A20_MICRO_8GB	https://www.olimex.com/Products/OLinuXino/A20/A20-OLinuXino-MICRO/open-source-hardware		https://downloads.openwrt.org/releases/21.02.3/targets/sunxi/cortexa7/openwrt-21.02.3-sunxi-cortexa7-olimex_a20-olinuxino-micro-squashfs-sdcard.img.gz	NULL	https://downloads.openwrt.org/snapshots/targets/sunxi/cortexa7/openwrt-sunxi-cortexa7-olimex_a20-olinuxino-micro-squashfs-sdcard.img.gz	NULL	Sunxi installation		NULL		media:olimex:a20-olinuxino-micro-i.jpg	
15705860	Single Board Computer	Olimex	A64-OLinuXino	NULL	http://?	Available 2020	olimex.com	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=c31954f1cf8760a873b6cabbcef271149958886d	21.02.0	21.02.3	NULL	sunxi	cortexa53	aarch64_cortex-a53	U-Boot	Allwinner A64	4	1200	more than 8GB eMMC	2048	-	1	-	?	-		Realtek RTL8723BS	b/g/n	-		unknown	-	4.0	1x OTG	-		MIPI DSI	Microphone	-		Yes	?	?	3	2	?	5 VDC		View/Edit data	NULL	NULL	A64-OLinuXino	A64-OLinuXino	NULL	https://www.olimex.com/Products/OLinuXino/A64/A64-OLinuXino/	https://www.olimex.com/Products/OLinuXino/A64/A64-OLinuXino/	https://downloads.openwrt.org/releases/21.02.3/targets/sunxi/cortexa53/openwrt-21.02.3-sunxi-cortexa53-olimex_a64-olinuxino-squashfs-sdcard.img.gz	NULL	https://downloads.openwrt.org/snapshots/targets/sunxi/cortexa53/openwrt-sunxi-cortexa53-olimex_a64-olinuxino-squashfs-sdcard.img.gz	NULL	Sunxi installation		unknown		media:example:genericrouter1.png	
15705861	Single Board Computer	Olimex	iMX233-OLinuXino-MAXI	NULL	NULL	Available 2019	olimex.com		14.07	15.05	NULL	mxs	generic	arm_arm926ej-s	U-Boot	Freescale i.MX233	1	454	microSD	64	1	-	?	No	-	1	-	-	-		unknown	-	?	2x 2.0	-		?	?	?		Yes	?	No	?	?	?	?	toh:olimex:imx233-olinuxino	View/Edit data	NULL	NULL	OLinuXino	OLinuXino	NULL	https://www.olimex.com/Products/OLinuXino/iMX233/iMX233-OLinuXino-MAXI/open-source-hardware		NULL	NULL	NULL	NULL	see devicepage		SD card		media:olimex:imx233-olinuxino-maxi-1.jpg	
15705862	Single Board Computer	Olimex	iMX233-OLinuXino-MICRO	NULL	NULL	Available 2019	olimex.com		14.07	15.05	NULL	mxs	generic	arm_arm926ej-s	U-Boot	Freescale i.MX233	1	454	microSD	64	-	-	?	No	-		-	-	-		unknown	-	?	1x 2.0	-		?	?	?		Yes	?	No	?	3	?	?	toh:olimex:imx233-olinuxino	View/Edit data	NULL	NULL	OLinuXino	OLinuXino	NULL	https://www.olimex.com/Products/OLinuXino/iMX233/iMX233-OLinuXino-MICRO/open-source-hardware		NULL	NULL	NULL	NULL	see devicepage		SD card		media:olimex:imx233-olinuxino-micro-1.jpg	
15705868	Single Board Computer	Omnima	MiniEMBWiFi	NULL	NULL	Available 2021	http://www.omnima.co.uk/store/catalog/MiniEMBWiFi-p-16180.html	https://git.lede-project.org/?p=source.git;a=commit;h=0c38d36488943095722376ad16a63b4ded86f5de	17.01.0	21.02.3	NULL	ramips	rt305x	mipsel_24kc	U-Boot	Ralink RT3050F	1	320	8	32	1	-	-	?	-		Ralink RT3050	b/g/n	-		unknown	1	-	1x 2.0	-		-	-	-		Yes	?	?	?	?	?	5 VDC, 2.5 A		View/Edit data	NULL	NULL	MiniEMBWiFi	MiniEMBWiFi	https://wikidevi.wi-cat.ru/Omnima_MiniEMBWiFi	http://www.omnima.co.uk/store/catalog/MiniEMBWiFi-p-16180.html		NULL	https://downloads.openwrt.org/releases/21.02.3/targets/ramips/rt305x/openwrt-21.02.3-ramips-rt305x-omnima_miniembwifi-squashfs-sysupgrade.bin	NULL	https://downloads.openwrt.org/snapshots/targets/ramips/rt305x/openwrt-ramips-rt305x-omnima_miniembwifi-squashfs-sysupgrade.bin	unknown		unknown		media:example:genericrouter1.png	
15705870	WiFi Router	OMYlink	OMY-G1	NULL	NULL	Discontinued		https://git.lede-project.org/?p=source.git;a=commit;h=ee53a240ac902dc83209008a2671e7fdcf55957a	17.01.0	19.07.10	NULL	ar71xx	generic	mips_24kc	U-Boot	Atheros AR9341	1	535	16	64	5	-	Atheros AR9341	Yes	-		Atheros AR9340	b/g/n	-		ath9k	?	?	1x 2.0	-		NULL	NULL	NULL		Yes	?	No	?	?	?	12 VDC	toh:omylink:omy-g1	View/Edit data	NULL	NULL	OMY-G1	OMY-G1	NULL	http://www.omylink.com/eshowProduct.asp?id=31		https://downloads.openwrt.org/releases/19.07.10/targets/ar71xx/generic/openwrt-19.07.10-ar71xx-generic-omy-g1-squashfs-factory.bin	https://downloads.openwrt.org/releases/19.07.10/targets/ar71xx/generic/openwrt-19.07.10-ar71xx-generic-omy-g1-squashfs-sysupgrade.bin	NULL	NULL	unknown		unknown		media:example:genericrouter1.png	
